,TrackId,ArtistName,Title,Lyrics,Mood
3534,TRHMSLR128F4293F76,Gogol Bordello,Tribal Connection,theres music comin car silence downtown community celebrations shall aroused walk sterile gardens life pause this hell do friend place town this hell do friend place town guess cant expect hometown know want near excitement protest stay home this hell do friend place town this hell do friend place town Party party party party party party Party party party party party party Party party party party party party Party party party party party party Party party party party party intersection dimensions stoppin drink meet brother tribal connection began sing gonna turn frustration inspiration demons there gonna set free method tribal connection fun loving restless breed wanna walk Earth like fun lovin tribe Cmon man real ask goddamn Nazifuedals Im gonna community Cause want conspiracy simply sing this hell do friend place town this hell do friend place town theres music comin car silence downtown intersection semialive Outskirts sedated gone,Happy
1976,TRADFVJ12903CA80F0,Madness,Cardiac Arrest,Papers morning Bowler hat head Walking bus stop Hes longing bed Waiting neighbours rush hour queue Got bus do Hes got hurry Got seat Cant miss place Got rest feet minutes till gets crosswords nearly done hard days nearly fun mind wanders office telephone desk chair Hes happy company Theyve treated real fair Think seven letters Begin end C Like big American car misspelt D wish busd on Drivers taking time know Ill late Oh dear boss say Pull state worry Theres hurry lovely day going way docs advice Let enjoy life Listen game play Hell rate Hes caught jam Theres meeting morning luck oh damn hand dives pocket handkerchief Pearls sweat collar pulsebeat brief Eyes fall wristwatch seconds pass real slow Gasping hot air chest pain go Tried ask help cant speak word Words whispered frantically heard wife kids depend me Were sorry told hurry late got certain date thought clear voiced inner fears left Theres do,Happy
2119,TRVRIBZ128F426BF71,Fleet Foxes,Your Protector,left week roam protectors coming home secrets Safe outside walk stream head caught waking dream protectors coming home coming home lay die me baby morning came wait me wait lay die me baby morning came wait me wait run devil run devil Tell brother good Tell sister Tell mother wait Tell father good lay die me baby morning came wait me wait,Happy
2857,TRQGIDG128F42BAA3C,The Twilight Singers,There's Been an Accident,Daylight creeping feel burn face sleep more so shadow walks place Like candy eyes seetly roll control Like singer alive barely holding far away run becam undone dust realize taken ride number til crawling stones assorted jones Im alive kinda took surprise everytime look away theres light Theres sentry gate far away run becam undone dust realize taken ride number til crawling til crawling til crawling til crawling stones assorted jones picked bones daylight creeping feel burn face sleep more so shadow walks place,Happy
884,TRLLVHK128F14676AE,Lifehouse,Breathing,Im finding way sanity know Im gonna breath hold tight Spin time gracefully fall arms grace Cause hanging word saying wanna speak tonight Thats alright alright Cause want sit outside heavens door listen breathing wanna be yeah wanna Im looking past shadows mind truth Im trying identify voices head God wish Let feel time feels like feel break calluses time Cause hanging word saying wanna speak tonight Thats alright alright Cause want sit outside door listen breathing wanna be yeah Oh want thing Bet tired waiting scraps fall table ground La da da da Cause wanna Cause hanging word saying wanna speak tonight Thats alright alright Cause want sit outside heavens door listen breathing wanna be yeah wanna Cause hanging word saying wanna speak tonight Thats alright alright Cause want sit outside heavens door listen breathing wanna be yeah wanna,Happy
2382,TRRKQMW128F9312597,Bloc Party,Banquet,heart stone smoking gun life away heart stone smoking gun Im working out ah Whyd feel underrated Whyd feel negated Haha Turning away light adult Turning soul wanted bite destroy feel underneath Turning light think straight Nonono think straight got dirty mind neverever stops taste like neverever read papers read news enough fooled Turning away light adult Turning soul wanted bite destroy feel underneath Turning light feel and feel little left Well await feel little left Well await Cause Im fire Cause know Im fire come Cause know Im fire Cause know Im fire stub Cause Im fire Cause Im fire Cause Im fire Cause Im fire,Happy
3820,TRMALOX128F14566A5,Neil Diamond,Holly Holy,Holly holy eyes Dream am believe Holly holy Holly holy dream Wanting comes run like wind Holly holy Sing Sing song Sing Sing song songs Sing Sing Sing strong Sing sing sing sing Yeah Yeah sun dead night suns gonna rise sky Touch man cant walk upright lame man hes gonna fly fly fly Holly holy love lonely child seed Let filled tomorrow Holly holy Sing Sing song Sing Sing Sing song songs Sing Sing Sing Sing Sing strong Sing sing sing sing Yeah Yeah sun dead night suns gonna rise sky Touch man cant walk upright lame man hes gonna fly fly yeah fly Holly holy dream Dream Holly holy sun Holly holy rain Holly holy love,Happy
1163,TRILYBG128F1485020,Jamelia,Stop,given ooh worry Id come depend oooh gave love find lied cant believe true Oooh whoa oh better stop stop tear apart better stop stop break heart Ooooh oooh oooh better stop Time time tried walk away easy soul torn resigned everyday yeh leave aah oooh Ooh whoa oh better stop stop tear apart better stop stop break heart Ooooh oooh oooh better stop Ohh ooh whoa better stop love time sorry believe walk baby Ohhh yehhh Oooh Ooh whoa oh better stop stop tear apart better stop stop break heart whoa whoa better stop stop Oooh whoa oh better stop stop stop better stop stop,Happy
292,TRQHHTU128F427ED1B,Belle & Sebastian,The Blues Are Still Blue,Look kid school Hes teaching mamas papas little cool Hes changing fashion way dress tracksuits old hoodys way moody kid funk dances secret hes parttime punk getting plane wants write thesis population underprivileged kids fighting lane Shop lifting drifting Like Switchblade Cross theres trouble got moves taking elementary class Kung fu left washing launderette money it place little bet washing black grey white grey blues blue Im crying mum malady away were little trouble boss company Im singer swinger Im layabout laying dock lazy sun relegate bum left lady launderette money it place little bet lady black white white black Blues Blue Baby love face Ive creeping round town because Well creepings way little wink Ill Ill excited week excitement starts fade know young touch French vocabularys formed left homework launderette got letter mamma stupid dog ate hid fence comes deputy head bark bulldog Hes making sense left lady launderette money it place little bet lady black white white black blues blue,Happy
2582,TRBEFRO128F42520FC,Vanessa Carlton,My Best,Mmmmmmmmmmmmmm scream shout try work love lover friend tell secrets safe unspoken citadel broken times Well easy forget sing remind shoulder rest Cause Ill best sidewalks path leads look hold truth broken times promise forget shoulder rest Cause best like promised kept like left like left Mmmmmmmmmmmmmm Ahahahahhhahah know long cant forget takes song swear hear steps hall goes past leaves ache left Cause gave best Ahhhh like left like left Ahahahahhhahah scream shout try,Happy
227,TRCUKHR128F92DF656,Sara Bareilles,Love Song,Head underwater tell breathe easy Breathing gets harder know room soon Im happy hands Im unusually hard hold Blank stares blank pages easy way mean well hard Im gonna write love song Cause asked Cause need one Im gonna write love song Cause tell breaking way Im gonna write stay leavin Ima need better reason write love song Today today yeah learned hard way Things want hear heavy heart sinks deep twisted words help hurts thought Hello high dry Convince think need Im trying let hear Im gonna write love song Cause asked Cause need one Im gonna write alove song Cause tell breaking way Im gonna write stay leavin Ima need better reason write love song Today Promise leave light help daylight guide gone Cause believe theres way love Im gonna write love song Cause asked Cause need one Im gonna write love song Cause tell breaking wanted love song Cause asked Cause need one Im gonna write love song Cause tell breaking way Im gonna write stay heart want minute Babe Ill walk seven seas believe Theres reason write love song Today today,Happy
